Gene1,Gene2,value
ENSG00000135506,ENSG00000067225,-0.14473558
ENSG00000135744,ENSG00000067225,-0.522838158
ENSG00000138834,ENSG00000067225,0.567940931
ENSG00000139899,ENSG00000067225,0.266707546
ENSG00000141753,ENSG00000067225,-0.465042044
ENSG00000143632,ENSG00000067225,-0.283653622
ENSG00000149925,ENSG00000067225,0.441811895
ENSG00000159335,ENSG00000067225,0.087233817
ENSG00000161016,ENSG00000067225,0.310346036
ENSG00000163453,ENSG00000067225,-0.143894083
ENSG00000166165,ENSG00000067225,0.333718014
ENSG00000166963,ENSG00000067225,0.209272266
ENSG00000167468,ENSG00000067225,-0.051924899
ENSG00000167658,ENSG00000067225,0.182555633
ENSG00000167676,ENSG00000067225,-0.433016661
ENSG00000169564,ENSG00000067225,-0.006838204
ENSG00000169710,ENSG00000067225,0.256654361
ENSG00000171223,ENSG00000067225,-0.145920125
ENSG00000171560,ENSG00000067225,-0.720120146
ENSG00000172270,ENSG00000067225,0.185508562
ENSG00000172660,ENSG00000067225,0.441703406
ENSG00000173432,ENSG00000067225,-0.588201568
ENSG00000174231,ENSG00000067225,0.497660123
ENSG00000174437,ENSG00000067225,0.151865698
ENSG00000177469,ENSG00000067225,-0.004606618
ENSG00000177666,ENSG00000067225,-0.085582312
ENSG00000178209,ENSG00000067225,0.380655367
ENSG00000178719,ENSG00000067225,0.09882944
ENSG00000179218,ENSG00000067225,-0.180360295
ENSG00000179262,ENSG00000067225,0.0363786
ENSG00000181222,ENSG00000067225,0.649600312
ENSG00000184009,ENSG00000067225,0.278839709
ENSG00000184897,ENSG00000067225,0.384072735
ENSG00000185650,ENSG00000067225,-0.014356422
ENSG00000185883,ENSG00000067225,0.204386239
ENSG00000186081,ENSG00000067225,0.219533235
ENSG00000189060,ENSG00000067225,0.317940286
ENSG00000196091,ENSG00000067225,-0.390464204
ENSG00000196218,ENSG00000067225,-0.002240053
ENSG00000196361,ENSG00000067225,0.276596597
ENSG00000196754,ENSG00000067225,0.551621615
ENSG00000197102,ENSG00000067225,0.624602495
ENSG00000197249,ENSG00000067225,-0.517371192
ENSG00000197711,ENSG00000067225,-0.729688415
ENSG00000197766,ENSG00000067225,-0.292474335
ENSG00000198695,ENSG00000067225,-0.420106473
ENSG00000198712,ENSG00000067225,-0.267103866
ENSG00000198727,ENSG00000067225,-0.268094184
ENSG00000198763,ENSG00000067225,-0.30310924
ENSG00000198786,ENSG00000067225,-0.216652982
ENSG00000198804,ENSG00000067225,-0.397409759
ENSG00000198840,ENSG00000067225,-0.375923539
ENSG00000198886,ENSG00000067225,-0.387712258
ENSG00000198888,ENSG00000067225,-0.282995258
ENSG00000198899,ENSG00000067225,-0.5057104
ENSG00000198938,ENSG00000067225,-0.212639605
ENSG00000212907,ENSG00000067225,-0.41979413
ENSG00000214753,ENSG00000067225,0.655243301
ENSG00000228253,ENSG00000067225,-0.398771303
ENSG00000229314,ENSG00000067225,-0.785802601
ENSG00000074181,ENSG00000072778,0.239689972
ENSG00000079435,ENSG00000072778,0.217156037
ENSG00000082641,ENSG00000072778,0.554116809
ENSG00000084234,ENSG00000072778,0.380456099
ENSG00000085063,ENSG00000072778,0.509053459
ENSG00000089597,ENSG00000072778,0.450800959
ENSG00000099365,ENSG00000072778,-0.24639485
ENSG00000100234,ENSG00000072778,0.370318415
ENSG00000101210,ENSG00000072778,-0.152750086
ENSG00000101335,ENSG00000072778,0.369277974
ENSG00000103034,ENSG00000072778,-0.066872927
ENSG00000103257,ENSG00000072778,-0.094075399
ENSG00000103495,ENSG00000072778,0.298357481
ENSG00000104852,ENSG00000072778,0.406805042
ENSG00000104879,ENSG00000072778,0.471788179
ENSG00000104964,ENSG00000072778,0.458014799
ENSG00000105270,ENSG00000072778,-0.191674682
ENSG00000105701,ENSG00000072778,0.329818293
ENSG00000106211,ENSG00000072778,0.420122721
ENSG00000108518,ENSG00000072778,0.473788958
ENSG00000109846,ENSG00000072778,0.146839105
ENSG00000110955,ENSG00000072778,0.45105849
ENSG00000111245,ENSG00000072778,0.373215058
ENSG00000111674,ENSG00000072778,-0.329240865
ENSG00000111676,ENSG00000072778,0.256450753
ENSG00000122304,ENSG00000072778,0.050061447
ENSG00000129250,ENSG00000072778,0.598716394
ENSG00000129538,ENSG00000072778,0.166458424
ENSG00000130175,ENSG00000072778,0.470642083
ENSG00000130176,ENSG00000072778,0.214598045
ENSG00000130522,ENSG00000072778,0.366038462
ENSG00000130726,ENSG00000072778,0.432729796
ENSG00000133392,ENSG00000072778,0.26795377
ENSG00000135472,ENSG00000072778,-0.26202747
ENSG00000135506,ENSG00000072778,0.607745519
ENSG00000135744,ENSG00000072778,0.015975196
ENSG00000138834,ENSG00000072778,-0.047600348
ENSG00000139899,ENSG00000072778,-0.02694051
ENSG00000141753,ENSG00000072778,0.194130904
ENSG00000143632,ENSG00000072778,0.363972574
ENSG00000149925,ENSG00000072778,0.251994757
ENSG00000159335,ENSG00000072778,0.422719201
ENSG00000161016,ENSG00000072778,0.506124844
ENSG00000163453,ENSG00000072778,0.358032389
ENSG00000166165,ENSG00000072778,-0.096572088
ENSG00000166963,ENSG00000072778,-0.186507967
ENSG00000167468,ENSG00000072778,0.538023951
ENSG00000167658,ENSG00000072778,0.628030631
ENSG00000167676,ENSG00000072778,0.478788869
ENSG00000169564,ENSG00000072778,0.509016279
ENSG00000169710,ENSG00000072778,0.090503517
ENSG00000171223,ENSG00000072778,0.466054352
ENSG00000171560,ENSG00000072778,0.125678304
ENSG00000172270,ENSG00000072778,0.534612974
ENSG00000172660,ENSG00000072778,0.492371655
ENSG00000173432,ENSG00000072778,0.471277862
ENSG00000174231,ENSG00000072778,0.437776561
ENSG00000174437,ENSG00000072778,0.397490897
ENSG00000177469,ENSG00000072778,0.377298971
ENSG00000177666,ENSG00000072778,0.630080216
ENSG00000178209,ENSG00000072778,0.532155863
ENSG00000178719,ENSG00000072778,0.458401018
ENSG00000179218,ENSG00000072778,0.506053383
ENSG00000179262,ENSG00000072778,0.558081545
ENSG00000181222,ENSG00000072778,0.226119254
ENSG00000184009,ENSG00000072778,0.061424315
ENSG00000184897,ENSG00000072778,0.447886968
ENSG00000185650,ENSG00000072778,0.391196795
ENSG00000185883,ENSG00000072778,0.333209704
ENSG00000186081,ENSG00000072778,0.102698369
ENSG00000189060,ENSG00000072778,0.489418137
ENSG00000196091,ENSG00000072778,0.080739552
ENSG00000196218,ENSG00000072778,0.069130159
ENSG00000196361,ENSG00000072778,-0.290644613
ENSG00000196754,ENSG00000072778,0.223236845
ENSG00000197102,ENSG00000072778,0.184706018
ENSG00000197249,ENSG00000072778,0.141896562
ENSG00000197711,ENSG00000072778,0.383205613
ENSG00000197766,ENSG00000072778,0.450346955
ENSG00000198695,ENSG00000072778,0.272163356
ENSG00000198712,ENSG00000072778,-0.088872468
ENSG00000198727,ENSG00000072778,0.413395383
ENSG00000198763,ENSG00000072778,-0.060844827
ENSG00000198786,ENSG00000072778,0.344994732
ENSG00000198804,ENSG00000072778,-0.109567912
ENSG00000198840,ENSG00000072778,0.280432949
ENSG00000198886,ENSG00000072778,0.191947744
